City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,wasilla,90,US,1567690912,87,61.58,-149.44,53.6,0.72
88,talnakh,75,RU,1567691047,93,69.49,88.39,51.8,13.42
89,kandrian,96,PG,1567691047,87,-6.21,149.55,70.79,8.75
90,diamantino,0,BR,1567691047,15,-14.4,-56.44,107.87,1.79
91,santa rosa,100,AR,1567691047,39,-36.62,-64.29,49.19,18.41
92,akdepe,0,TM,1567691048,29,42.05,59.39,77.0,13.87
93,polyanka,18,UA,1567691050,52,50.26,27.69,68.63,2.59
94,ushuaia,0,AR,1567691050,74,-54.81,-68.31,39.2,6.93
95,kichera,100,RU,1567691050,94,55.93,110.1,47.93,3.6
96,kapaa,40,US,1567691051,74,22.08,-159.32,82.4,16.11
97,freeport,79,BS,1567691051,78,26.54,-78.7,83.93,15.79
98,narsaq,75,GL,1567690789,61,60.91,-46.05,46.4,4.7
99,chara,20,GR,1567691051,35,39.42,22.43,86.0,16.11
100,marfino,75,RU,1567691051,100,56.07,37.56,66.99,4.47
101,aswan,0,EG,1567691052,9,24.09,32.9,101.93,8.84
102,makaha,1,US,1567691052,74,21.47,-158.22,82.4,5.82
103,ribeira grande,20,PT,1567691052,65,38.52,-28.7,77.0,10.29
104,cayenne,75,GF,1567691052,66,4.94,-52.33,86.0,10.29
105,moron,11,HT,1567691052,72,18.56,-74.26,84.47,5.06
106,fortuna,75,ES,1567691053,54,38.18,-1.13,84.2,4.7
107,naze,100,NG,1567691053,86,5.43,7.07,78.53,7.25
108,sept-iles,20,CA,1567691053,62,50.2,-66.38,57.0,13.87
109,morant bay,20,JM,1567690782,52,17.88,-76.41,87.8,5.82
110,kamenka,4,MD,1567691054,42,48.03,28.7,72.0,6.11
111,umm lajj,0,SA,1567691054,73,25.02,37.27,85.01,11.25
112,severo-kurilsk,100,RU,1567691054,95,50.68,156.12,50.45,11.63
113,itapaci,100,BR,1567690852,7,-14.95,-49.55,99.41,11.54
114,verkhnyaya inta,48,RU,1567691054,70,65.99,60.32,58.37,11.07
115,kenai,1,US,1567690963,86,60.55,-151.26,39.2,7.34
116,isangel,63,VU,1567691055,73,-19.55,169.27,69.17,17.2
117,cap-aux-meules,75,CA,1567691055,77,47.38,-61.86,59.0,19.46
118,oranjestad,40,AW,1567691055,70,12.52,-70.03,86.0,25.28
119,ancud,0,CL,1567691056,86,-41.87,-73.83,37.4,3.36
120,whitehorse,20,CA,1567690878,93,60.72,-135.06,37.4,3.36
121,chiredzi,0,ZW,1567691056,11,-21.05,31.67,85.73,10.6
122,kaitangata,100,NZ,1567691056,72,-46.28,169.85,46.99,5.01
123,hilo,40,US,1567690871,83,19.71,-155.08,75.2,4.7
124,butembo,99,CD,1567691057,95,0.12,29.29,69.71,1.48
125,geraldton,90,CA,1567691057,100,49.72,-86.95,50.0,6.93
126,ilebo,71,CD,1567691057,40,-4.33,20.59,89.87,3.69
127,shiyan,0,CN,1567691057,51,32.65,110.78,73.0,1.99
128,peski,40,RU,1567691057,46,59.94,30.38,72.0,15.66
129,tolaga bay,58,NZ,1567690895,99,-38.37,178.3,46.49,2.46
130,slantsy,83,RU,1567691058,64,59.12,28.09,67.01,13.0
131,westport,1,US,1567690839,68,41.14,-73.36,68.0,9.17
132,vilyuysk,43,RU,1567691058,90,63.75,121.63,41.99,5.41
133,fengcheng,80,CN,1567691059,98,40.45,124.07,65.03,3.56
134,nioro,19,GM,1567691059,60,13.79,-15.05,89.87,6.85
135,lebu,75,ET,1567691061,67,8.96,38.73,62.6,16.11
136,itarema,82,BR,1567691061,44,-2.92,-39.92,90.95,11.61
137,katobu,0,ID,1567691061,89,-4.94,122.53,71.51,4.12
138,vieste,20,IT,1567691062,38,41.88,16.18,87.8,2.24
139,devils lake,75,US,1567691062,93,48.11,-98.87,57.2,16.11
140,taoudenni,65,ML,1567691062,11,22.68,-3.98,110.93,9.57
141,derzhavinsk,100,KZ,1567691063,81,51.1,66.31,50.45,20.15
142,donghai,0,CN,1567691063,90,34.52,118.76,66.29,3.87
143,akhtubinsk,0,RU,1567691063,29,48.29,46.17,69.89,6.44
144,chokurdakh,64,RU,1567691063,94,70.62,147.9,32.99,7.96
145,clyde river,90,CA,1567691064,86,70.47,-68.59,41.0,4.7
146,ust-uda,63,RU,1567691064,84,54.17,103.03,45.77,4.34
147,makakilo city,1,US,1567691064,74,21.35,-158.09,82.4,5.82
148,dakar,40,SN,1567690858,83,14.69,-17.45,84.2,6.93
149,brae,20,GB,1567691064,66,60.4,-1.35,51.8,11.41
150,buala,10,SB,1567691065,84,-8.15,159.59,77.45,15.43
151,tomatlan,95,MX,1567691065,74,19.93,-105.25,80.69,4.7
152,aklavik,90,CA,1567691065,100,68.22,-135.01,46.4,6.93
153,itai,100,BR,1567691065,68,-23.42,-49.09,67.55,16.46
154,saint-francois,75,FR,1567691065,46,46.42,3.91,69.8,9.17
155,arraial do cabo,75,BR,1567691066,100,-22.97,-42.02,68.0,12.75
156,lazaro cardenas,98,MX,1567691066,57,28.39,-105.62,73.99,5.01
157,taitung,76,TW,1567691066,94,22.76,121.15,62.51,4.16
158,douglas,75,US,1567691066,93,58.28,-134.39,51.01,4.09
159,piacabucu,0,BR,1567691067,60,-10.41,-36.43,80.51,7.9
160,hami,88,CN,1567691067,21,42.84,93.51,79.97,20.29
161,coquimbo,90,CL,1567691067,76,-29.95,-71.34,53.6,4.7
162,tanabe,92,JP,1567691067,77,33.73,135.39,80.15,13.4
163,alpena,1,US,1567691068,71,45.06,-83.43,62.01,4.7
164,kysyl-syr,27,RU,1567691068,90,63.9,122.77,40.73,5.77
165,pandan,100,PH,1567691068,81,11.72,122.09,82.13,15.3
166,sumbe,0,AO,1567691068,88,-11.2,13.84,71.33,11.68
167,inhambane,0,MZ,1567690879,50,-23.87,35.38,75.47,9.66
168,copiapo,90,CL,1567691069,62,-27.37,-70.33,55.4,3.36
169,alekseyevsk,32,RU,1567691069,97,57.84,108.35,44.15,5.37
170,meadow lake,75,CA,1567691069,93,54.13,-108.44,55.4,9.17
171,saint-augustin,20,CA,1567691070,82,45.63,-73.98,62.01,2.24
172,sur,0,OM,1567691070,57,22.57,59.53,83.93,1.81
173,rawson,100,AR,1567691013,81,-43.3,-65.11,38.21,12.95
174,kosh-agach,88,RU,1567691070,85,49.99,88.66,39.11,3.74
175,ilo,90,PE,1567691071,88,-17.65,-71.34,62.6,5.82
176,ola,73,RU,1567691071,94,59.58,151.3,52.25,2.93
177,carnarvon,3,ZA,1567691071,20,-30.97,22.13,68.63,12.5
178,dikson,100,RU,1567691071,99,73.51,80.55,42.71,3.87
179,aanekoski,90,FI,1567691072,77,62.6,25.73,60.8,14.99
180,komsomolskiy,40,RU,1567691072,72,67.55,63.78,57.11,11.25
181,salta,90,AR,1567691074,71,-24.79,-65.41,51.8,5.82
182,georgetown,75,GY,1567691074,74,6.8,-58.16,84.2,11.41
183,port hardy,90,CA,1567691075,100,50.7,-127.42,51.8,2.24
184,piploda,100,IN,1567691075,91,23.35,75.43,77.63,7.18
185,gambela,96,ET,1567691075,94,8.25,34.59,73.49,0.85
186,lorengau,100,PG,1567691075,82,-2.02,147.27,78.35,7.09
187,acapulco,40,MX,1567691076,83,16.86,-99.88,78.8,4.7
188,marktoberdorf,75,DE,1567691076,93,47.78,10.62,57.2,8.05
189,likasi,100,CD,1567691077,16,-10.99,26.74,85.37,5.28
190,kiama,35,AU,1567691077,100,-34.67,150.86,62.01,1.12
191,tuatapere,93,NZ,1567691077,93,-46.13,167.69,46.0,3.0
192,saint-leu,0,RE,1567691077,73,-21.15,55.28,77.0,8.05
193,luba,99,PH,1567691077,90,17.32,120.7,76.01,8.5
194,gao,97,ML,1567691077,23,16.28,-0.04,102.65,10.56
195,pontianak,0,ID,1567691078,78,-0.02,109.34,81.59,18.01
196,myanaung,80,MM,1567691078,90,18.28,95.32,75.47,2.33
197,lar,40,IR,1567691078,17,27.66,54.32,107.6,6.93
